"Project ID","Project Name","Project Type","Task Name","Contractor Type","Labor Count","Task Duration (hours)","Task Duration (days)","Total Cost (£","Start Date","Location","Complexity Level","season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Electrical Cabling","General",17,135,16.9,137700,"2025-02-24","Abuja","High","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Structural Steel Assembly","General",13,378,47.2,560196,"2025-08-10","Delta","High","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Electrical Cabling","General",9,142,17.8,62622,"2025-06-21","Port Harcourt","High","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Site Clearance","Specialist",5,588,73.5,126420,"2025-07-10","Port Harcourt","Medium","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Pile Driving","Specialist",16,430,53.8,660480,"2025-03-03","Port Harcourt","Medium","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Pile Driving","Specialist",7,634,79.2,221900,"2025-03-31","Bayelsa","High","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Pile Driving","General",6,520,65.0,321360,"2025-04-03","Calabar","High","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","HVAC for Control Room","Specialist",12,789,98.6,615420,"2025-11-22","Lagos","High","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Subsea Pipeline Laying","General",20,615,76.9,553500,"2025-03-01","Uyo","High","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","HVAC for Control Room","General",15,332,41.5,552780,"2025-02-20","Calabar","Medium","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Safety Systems Installation","Specialist",13,328,41.0,345384,"2025-08-01","Onne","High","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","HVAC for Control Room","Specialist",23,146,18.2,231702,"2025-01-03","Bayelsa","High","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","HVAC for Control Room","Specialist",19,399,49.9,894558,"2025-08-10","Uyo","Medium","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Cathodic Protection","Specialist",21,321,40.1,586467,"2025-01-23","Bayelsa","Medium","Dry season"
